true_label,pred_label,x,y,z,datatime_idx
2,2,0.20404851,-2.1622138,1.0788739,836
2,2,-0.27999878,-2.0547495,0.806087,852
4,4,0.93656886,2.4446244,1.8465922,1398
2,2,0.37750158,-2.00826,1.2388723,702
2,2,1.333931,-2.1430936,0.9756319,845
0,0,2.4248545,0.26807016,0.63831633,94
4,4,2.569707,2.3573449,0.49860048,1515
4,4,1.7840214,1.8162539,2.554051,1356
2,2,-0.7070358,-1.8903742,1.7092185,774
4,4,1.6202967,2.120621,1.1870774,1392
4,4,2.4105024,2.0716891,2.343242,1246
2,2,0.2871181,-2.5439126,1.6706228,870
4,4,1.012406,2.4325113,0.34536827,1409
2,2,0.20257838,-2.1705906,1.1369557,613
3,3,-5.197032,3.1099696,-1.3704021,980
2,2,0.39027762,-1.323451,1.9181364,703
2,2,2.188883,-2.4172282,1.5702057,668
3,3,-3.8694725,3.5891087,-1.495714,1153
4,4,2.160463,2.6394253,1.5590951,1445
3,3,-5.5803747,3.0246267,-0.9690747,1042
3,3,-1.3310409,3.4029503,-0.54444146,1152
2,2,0.2288732,-2.8051493,0.8029382,893
0,0,3.0127509,-0.25068521,-0.20207003,165
3,3,-3.948582,2.9222677,-1.0775796,1052
3,3,-4.112703,2.0821228,-2.2632923,1021
1,1,1.6384187,-2.8564003,-1.3961701,533
4,4,1.1639678,2.260344,0.53834856,1326
4,4,0.7089839,2.5609019,1.3220624,1329
0,0,2.6158412,-0.003675234,-0.11322659,84
3,3,-3.5750895,3.5414288,-1.241849,1019
1,1,1.6600909,-2.6709223,-1.4854074,386
2,2,-0.067296386,-1.6846088,1.5880734,867
3,3,-3.8490148,2.5991223,-1.9125696,1069
4,4,3.2628548,1.7266062,2.531286,1253
2,2,-0.32989323,-1.9944623,2.0216525,787
4,4,1.5976614,2.3576138,0.92605853,1299
4,4,1.2122879,1.6547992,0.42792815,1294
4,4,1.2996527,2.5823202,1.2545629,1301
4,4,1.4821568,1.4658444,0.7321965,1351
4,4,0.66414034,2.0425653,1.6488914,1285
2,2,0.435607,-2.615671,1.3454717,616
3,3,-3.7198393,3.2543657,-1.1143422,1050
1,1,0.32642063,-2.289871,-1.7192264,487
1,1,0.44150758,-2.2974944,-0.967894,406
1,1,0.45497936,-2.289997,-2.2264733,515
4,4,1.7476678,2.2713237,0.8384046,1225
3,3,-4.146432,2.3715904,-2.579001,957
4,4,1.9619024,1.9515808,1.4632224,1374
1,1,-1.27077,-2.697394,-1.2646306,476
2,2,1.2800395,-2.4395854,1.5017273,849
1,1,0.19817635,-2.4740722,-1.1171409,307
