train_true_label,train_pred_label,train_x,train_y,train_z,train_datatime_idx,test_true_label,test_pred_label,test_x,test_y,test_z,test_datatime_idx,add_true_label,add_pred_label,add_x,add_y,add_z,add_datatime_idx
2,2,0.20404851,-2.1622138,1.0788739,836,0,0,2.0214343,0.98444444,0.42756993,0,5,2,-0.12014353,-0.9201326,0.7566037,1530
2,2,-0.27999878,-2.0547495,0.806087,852,0,0,2.0586486,0.7527739,0.5702026,1,5,2,-0.045413937,-0.5921096,0.81778765,1531
4,4,0.93656886,2.4446244,1.8465922,1398,0,0,2.1145568,0.93630284,0.5294739,2,5,2,0.033875316,-0.56413424,0.88536346,1532
2,2,0.37750158,-2.00826,1.2388723,702,0,0,2.334437,0.5893802,0.70125943,3,5,2,0.1142869,-0.94220006,1.1217504,1533
2,2,1.333931,-2.1430936,0.9756319,845,0,0,2.3252444,0.58836,0.48476285,4,5,2,0.32669893,-0.5611416,1.0576187,1534
0,0,2.4248545,0.26807016,0.63831633,94,0,0,1.519176,0.3099771,0.77726984,5,5,2,0.28947473,-0.7660299,1.1661749,1535
4,4,2.569707,2.3573449,0.49860048,1515,0,0,2.0890498,0.17230284,1.0081424,6,5,2,0.43485168,-0.28518254,1.3487136,1536
4,4,1.7840214,1.8162539,2.554051,1356,0,0,2.0771356,0.27812025,0.33670953,7,5,4,1.3343987,-0.42968804,1.0726526,1537
2,2,-0.7070358,-1.8903742,1.7092185,774,0,0,1.4697733,-0.40240413,0.9857727,8,5,2,1.0394671,-0.1555756,1.1972897,1538
4,4,1.6202967,2.120621,1.1870774,1392,0,0,2.0331168,0.986416,0.4482963,9,5,2,0.8078172,-0.6919199,1.0932443,1539
4,4,2.4105024,2.0716891,2.343242,1246,0,0,2.1603968,0.71101993,0.6027427,10,5,2,1.0736891,-0.70305854,1.0138836,1540
2,2,0.2871181,-2.5439126,1.6706228,870,0,0,2.034257,0.86734456,0.5228016,11,5,4,1.3943906,-0.11563298,0.9952706,1541
4,4,1.012406,2.4325113,0.34536827,1409,0,0,2.274296,0.5234407,0.6521211,12,5,2,1.0332866,0.12298949,1.0407919,1542
2,2,0.20257838,-2.1705906,1.1369557,613,0,0,2.3394032,0.5491031,0.42990765,13,5,2,1.2068145,-0.032066703,1.3119824,1543
3,3,-5.197032,3.1099696,-1.3704021,980,0,0,1.5403302,0.31580204,0.675704,14,5,2,0.94029677,-0.12236631,1.1379809,1544
2,2,0.39027762,-1.323451,1.9181364,703,0,0,2.0352721,0.17614451,0.8673642,15,5,2,1.2408843,-0.31865394,1.1517503,1545
2,2,2.188883,-2.4172282,1.5702057,668,0,0,2.1997676,0.3419441,0.3345904,16,5,2,1.1530652,-0.14804839,1.1412876,1546
3,3,-3.8694725,3.5891087,-1.495714,1153,0,0,1.4723126,-0.37131503,0.8503634,17,5,2,1.1529942,-0.04794413,1.2421252,1547
4,4,2.160463,2.6394253,1.5590951,1445,0,0,2.0500784,0.98680884,0.4422757,18,5,2,0.5876513,-0.7887604,1.3358438,1548
3,3,-5.5803747,3.0246267,-0.9690747,1042,0,0,2.3750472,0.7270071,0.69608,19,5,2,0.62008727,-0.35353482,1.4304096,1549
3,3,-1.3310409,3.4029503,-0.54444146,1152,0,0,2.1381946,0.86278254,0.5293479,20,5,2,0.3840911,-0.4138865,1.4449115,1550
2,2,0.2288732,-2.8051493,0.8029382,893,0,0,2.3129096,0.6385419,0.6034444,21,5,2,0.75241196,0.003186628,1.279819,1551
0,0,3.0127509,-0.25068521,-0.20207003,165,0,0,2.3671036,0.68275476,0.41560894,22,5,2,0.9157169,-0.1534053,1.2694315,1552
3,3,-3.948582,2.9222677,-1.0775796,1052,0,0,1.6554216,0.17231789,0.68726957,23,5,2,0.7162733,-0.050564438,1.0464413,1553
3,3,-4.112703,2.0821228,-2.2632923,1021,0,0,2.139185,0.23216718,0.930124,24,5,2,0.96657103,-0.38611257,1.4090586,1554
1,1,1.6384187,-2.8564003,-1.3961701,533,0,0,2.2580645,0.5199531,0.42137432,25,5,2,0.55858576,-0.37115043,1.3142565,1555
4,4,1.1639678,2.260344,0.53834856,1326,0,0,1.5062058,-0.24970499,0.9012977,26,5,2,0.9656762,0.10175733,1.3793373,1556
4,4,0.7089839,2.5609019,1.3220624,1329,0,0,2.138595,0.8940993,0.48180687,27,5,2,0.6664212,-0.12968278,1.3495841,1557
0,0,2.6158412,-0.003675234,-0.11322659,84,0,0,2.60883,0.65403855,0.7851938,28,5,2,0.9629719,-0.14861757,1.2465321,1558
3,3,-3.5750895,3.5414288,-1.241849,1019,0,0,2.2394,0.8140124,0.49624968,29,5,2,0.4574337,0.29209965,1.2221949,1559
1,1,1.6600909,-2.6709223,-1.4854074,386,0,0,2.3896031,0.7210183,0.61274827,30,5,2,0.8160553,0.17963085,1.2882913,1560
2,2,-0.067296386,-1.6846088,1.5880734,867,0,0,2.4910653,0.7660139,0.47641045,31,5,2,1.0081367,0.15655321,1.2901506,1561
3,3,-3.8490148,2.5991223,-1.9125696,1069,0,0,1.7664101,0.248849,0.6691467,32,5,2,0.7786548,0.6986326,1.313149,1562
4,4,3.2628548,1.7266062,2.531286,1253,0,0,2.288496,0.13328573,0.8809509,33,5,2,0.7705405,0.99533165,1.3164592,1563
2,2,-0.32989323,-1.9944623,2.0216525,787,0,0,2.341722,0.41302592,0.4606235,34,5,2,-0.19550028,-0.9501307,0.74760354,1564
4,4,1.5976614,2.3576138,0.92605853,1299,0,0,1.641494,-0.25389692,0.8474351,35,5,2,-0.20157033,-0.68398654,0.79815626,1565
4,4,1.2122879,1.6547992,0.42792815,1294,0,0,2.1751618,0.7696583,0.45515725,36,5,2,-0.08070539,-0.67602485,0.8696922,1566
4,4,1.2996527,2.5823202,1.2545629,1301,0,0,2.4018736,0.42769033,0.80000085,37,5,2,-0.07940937,-1.0278413,1.1034606,1567
4,4,1.4821568,1.4658444,0.7321965,1351,0,0,2.1656678,0.7572032,0.48255217,38,5,2,0.13359743,-0.6466116,1.1034064,1568
4,4,0.66414034,2.0425653,1.6488914,1285,0,0,2.344783,0.8519959,0.518654,39,5,2,0.031614218,-0.73943746,1.0968974,1569
2,2,0.435607,-2.615671,1.3454717,616,0,0,2.402771,0.76626176,0.46551618,40,5,2,0.34711495,-0.39533225,1.3226548,1570
3,3,-3.7198393,3.2543657,-1.1143422,1050,0,0,1.6544997,0.2192929,0.68617475,41,5,2,1.1696255,-0.5002662,1.027185,1571
1,1,0.32642063,-2.289871,-1.7192264,487,0,0,2.193301,0.03488101,0.80007297,42,5,2,0.9275998,-0.25843984,1.1135834,1572
1,1,0.44150758,-2.2974944,-0.967894,406,0,0,2.2462058,0.47851548,0.4056401,43,5,2,0.77116233,-0.74984324,1.1527601,1573
1,1,0.45497936,-2.289997,-2.2264733,515,0,0,1.8050323,-0.1257255,0.814258,44,5,2,0.9890277,-0.63617814,0.9034784,1574
4,4,1.7476678,2.2713237,0.8384046,1225,0,0,2.1334743,0.79470974,0.3475265,45,5,4,1.234361,-0.15330337,0.9747811,1575
3,3,-4.146432,2.3715904,-2.579001,957,0,0,2.4635596,0.51125026,0.62579286,46,5,2,0.920269,0.086021915,1.0374095,1576
4,4,1.9619024,1.9515808,1.4632224,1374,0,0,2.3899426,0.89580756,0.40751874,47,5,2,0.9852186,-0.21202733,1.2410539,1577
1,1,-1.27077,-2.697394,-1.2646306,476,0,0,2.3653822,0.88050425,0.43615302,48,5,2,0.7442844,-0.1788698,1.0696535,1578
2,2,1.2800395,-2.4395854,1.5017273,849,0,0,2.402988,0.81061184,0.43837893,49,5,2,1.101821,-0.3687747,1.1439472,1579
1,1,0.19817635,-2.4740722,-1.1171409,307,0,0,1.6555455,0.15688348,0.66299695,50,5,2,0.96091175,-0.15059139,1.1192558,1580
0,0,2.8637195,0.09719023,0.37917608,29,0,0,2.2450516,0.0957265,0.68447125,51,5,2,0.844696,-0.21994933,1.1833162,1581
4,4,1.2789024,2.7045927,0.8689664,1506,0,0,2.353963,0.5201745,0.2814965,52,5,2,0.5330116,-0.7684425,1.2535349,1582
2,2,0.1739741,-1.6729321,0.88690615,637,0,0,1.8636043,-0.025972873,0.74968594,53,5,2,0.62913305,0.03700374,1.2983838,1583
0,0,3.050416,-0.2786581,-0.831596,146,0,0,2.060169,0.7551005,0.40104848,54,5,2,0.34499857,-0.38701352,1.3727933,1584
3,3,-3.5937138,2.8722115,-1.9257473,1132,0,0,2.5582469,0.62237394,0.5229384,55,5,2,0.8158525,0.24024884,1.1616359,1585
3,3,-2.1114395,3.1212704,-1.6136006,1011,0,0,2.299592,0.8114933,0.48867413,56,5,2,0.91803026,0.15475696,1.1623809,1586
3,3,-3.8115392,2.5454762,-1.4314586,993,0,0,2.4232602,0.89402014,0.381744,57,5,2,0.6543044,-0.00585711,0.9813964,1587
0,0,2.4788914,0.19845171,-0.29059985,13,0,0,2.508699,0.7851424,0.4868816,58,5,2,0.9220127,-0.30941382,1.2676342,1588
1,1,1.4439254,-2.7479844,-1.3060088,567,0,0,1.7849826,0.06965497,0.6779409,59,5,2,0.6556745,-0.20406479,1.2156199,1589
3,3,-5.3827806,1.7050743,-1.6106138,961,0,0,2.286885,0.023450822,0.69459945,60,5,2,0.82916564,0.114052296,1.3159119,1590
4,4,1.2256734,2.6544113,2.0380294,1349,0,0,2.4081068,0.5587128,0.3082802,61,5,2,0.721655,-0.027266994,1.295885,1591
0,0,2.6754136,-0.10010047,0.47925663,273,0,0,1.976481,-0.028135568,0.796492,62,5,2,0.9809113,-0.06215787,1.1066046,1592
0,0,2.686951,-0.1681031,0.8249815,298,0,0,2.0310254,0.6317016,0.46277195,63,5,2,0.52962595,0.440195,1.0974143,1593
2,2,0.79684186,-2.1390977,1.3796456,711,0,0,2.2968864,0.5354417,0.5304192,64,5,2,0.78669584,0.12260379,1.255087,1594
1,1,0.40283594,-2.3690035,-1.3161385,417,0,0,2.3577473,0.91637594,0.46045434,65,5,2,0.99075186,0.27106562,1.1988451,1595
0,0,2.739504,0.001737908,-0.9029442,90,0,0,2.4924445,0.8482887,0.44559598,66,5,2,0.78384626,0.7213744,1.170053,1596
2,2,0.08225766,-2.0568473,2.1739674,733,0,0,2.4305348,0.69919753,0.48357645,67,5,2,0.6546221,0.83969766,1.2098986,1597
2,2,1.3113441,-1.8416607,1.3977733,915,0,0,1.7842491,-0.14629644,0.5947451,68,5,2,-0.3622111,-0.6674455,0.6017968,1598
0,0,2.889654,0.29053408,-0.11788676,21,0,0,2.2608495,-0.08892332,0.7519569,69,5,2,-0.29639506,-0.4583031,0.57468206,1599
3,3,-6.2518754,3.5630784,-1.2373104,1148,0,0,2.5317862,0.36006245,0.30143672,70,5,2,-0.17298591,-0.57905823,0.76814216,1600
4,4,1.9113327,1.9314876,1.5830235,1476,0,0,1.9815403,-0.14779778,0.8973991,71,5,2,-0.38752252,-0.7291122,1.0283002,1601
2,2,0.90491503,-2.3042789,1.446307,655,0,0,2.247644,0.6080913,0.47572145,72,5,2,-0.013866672,-0.49038076,0.9645295,1602
3,3,-2.7088804,3.6135979,-0.73862505,1085,0,0,2.4201896,0.4247381,0.537623,73,5,2,-0.0589023,-0.51787376,0.9443024,1603
0,0,3.0317411,1.1843364,-0.14784625,230,0,0,2.4509869,0.6664108,0.56575006,74,5,2,0.28735676,-0.3450523,1.2252774,1604
2,2,1.3493783,-1.8841897,1.9286809,800,0,0,2.5873985,0.73887783,0.4938596,75,5,4,1.070924,-0.3533373,1.0197673,1605
1,1,-0.78802824,-2.0096712,-1.3735486,445,0,0,2.528757,0.62788135,0.47569576,76,5,2,0.85165685,-0.28847736,1.0457857,1606
0,0,2.9856243,0.6349818,-0.47282386,197,0,0,1.9882939,-0.21716183,0.53390455,77,5,2,0.869596,-0.7248526,1.0712836,1607
2,2,0.33373067,-2.5009623,1.1760802,712,0,0,2.3784838,-0.09841895,0.7257217,78,5,2,0.8984333,-0.6134989,0.8520731,1608
1,1,-0.15378508,-2.0342333,-2.023689,512,0,0,2.5901494,0.31489885,0.41398633,79,5,4,1.1086152,-0.19281438,0.9163964,1609
1,1,0.63166654,-2.1508458,-1.6546736,605,0,0,2.0198674,-0.12865734,0.9251325,80,5,2,0.82772315,0.16458103,1.0104802,1610
1,1,0.9592486,-2.5394886,-2.015888,597,1,1,1.3205105,-2.1670625,-0.42715645,81,5,2,1.0961945,-0.11555699,1.1124405,1611
0,0,2.5988727,-0.23501883,-0.11694887,82,1,1,1.0072386,-2.1765847,-0.8819813,82,5,2,0.78159416,-0.064728945,0.97495085,1612
4,4,1.9456409,0.96305275,2.167563,1321,1,1,0.3169499,-2.2491066,-1.1260519,83,5,2,1.1091604,-0.4348236,1.1294063,1613
1,1,0.11008111,-2.579614,-1.3894204,573,1,1,0.9944567,-1.8397446,-1.4773126,84,5,2,0.8710481,-0.15176597,1.0675131,1614
3,3,-4.5412874,3.2786174,-1.7179799,1135,1,1,1.1049006,-2.314804,-0.570868,85,5,2,1.010502,0.084783524,1.1286436,1615
3,3,-3.7128835,1.8776907,-1.6533957,1194,1,1,1.0000746,-2.1928349,-0.890064,86,5,2,0.47644678,-0.79908353,1.1861365,1616
3,3,-3.9190443,2.292187,-0.73782176,972,1,1,0.86135674,-1.8779956,-1.6817552,87,5,2,0.5612488,0.12385613,1.2105768,1617
4,4,0.81365645,2.184885,1.051673,1264,1,1,1.3864157,-1.6106261,-1.5039651,88,5,2,0.38758022,-0.514246,1.2739792,1618
1,1,0.00537768,-2.574545,-1.5689434,482,1,1,1.2721206,-2.1147418,-0.6536258,89,5,2,0.7692805,0.2766257,1.0799923,1619
3,3,-3.851129,3.820647,-1.1025264,1186,1,1,1.0904717,-2.2078886,-0.53911376,90,5,2,0.898949,0.093791574,1.1237609,1620
3,3,-3.6702337,2.635698,-1.4457499,974,1,1,1.036346,-2.2366583,-1.0080073,91,5,2,0.5858922,0.06718021,0.8856834,1621
3,3,-2.9454958,2.82971,-2.0723774,1129,1,1,0.23369828,-2.1994622,-1.2314314,92,5,2,0.8327546,-0.29996058,1.153724,1622
0,0,2.8414567,0.62782747,-0.18642518,115,1,1,0.89857775,-1.8791674,-1.5210477,93,5,2,0.5393149,-0.3066548,1.0839715,1623
0,0,2.3968785,0.32379687,0.37320763,257,1,1,1.0720973,-2.4035769,-0.67363954,94,5,2,0.6861645,-0.12781613,1.2882909,1624
1,1,1.0345758,-2.1844497,-0.9299571,608,1,1,1.073538,-2.2932935,-1.0417396,95,5,2,0.6125442,0.10252279,1.178109,1625
2,2,0.82947177,-2.6172185,1.7808223,847,1,1,0.794122,-1.9710698,-1.7771964,96,5,2,0.8517633,-0.128384,1.0559542,1626
0,0,3.0935524,0.54359406,-0.5454136,292,1,1,1.3189546,-1.7864531,-1.6415359,97,5,2,0.5010985,0.6132093,0.94428456,1627
0,0,2.5608795,-0.51474345,-0.45563167,276,1,1,1.0436772,-2.2077038,-0.6504381,98,5,2,0.66735584,0.15685058,1.1377248,1628
2,2,0.44904226,-1.5686958,1.9579505,905,1,1,1.0509435,-2.2573967,-0.62024003,99,5,2,0.904055,0.3067293,1.0995827,1629
4,4,1.2347405,2.4137251,-0.25775778,1401,1,1,0.93196535,-2.332453,-0.9240303,100,5,4,0.81357634,0.7979754,1.0103221,1630
1,1,-0.1582017,-1.9627892,-2.0630915,546,1,1,0.2079112,-2.295384,-1.2234466,101,5,2,0.60315436,0.9462772,1.0239716,1631
0,0,2.163579,-0.2024902,0.41501373,161,1,1,0.80246854,-1.8592751,-1.60881,102,5,2,-0.73894745,-0.41447234,0.5425107,1632
2,2,1.038614,-2.6140187,1.4291275,684,1,1,1.1599483,-2.514183,-0.8086325,103,5,2,-0.48543906,-0.32771218,0.517492,1633
2,2,-0.4567641,-2.268232,1.8309946,757,1,1,1.0324844,-2.3774972,-1.0083783,104,5,2,-0.47228414,-0.29831654,0.6735139,1634
0,0,2.016807,-0.5161153,-0.26023057,244,1,1,0.7485475,-2.0639677,-1.765652,105,5,2,-0.42234933,-0.5434208,0.9103813,1635
2,2,-0.29528815,-2.2437387,2.0861883,767,1,1,1.2374487,-1.8260705,-1.6228645,106,5,2,-0.23511404,-0.4154845,0.8440177,1636
4,4,2.1510816,2.8660283,0.5920452,1230,1,1,1.1004477,-2.3309002,-0.7422532,107,5,2,-0.1297741,-0.36303788,0.82432485,1637
2,2,0.6076398,-1.9665446,0.65754706,747,1,1,1.0011442,-2.2332406,-0.73752517,108,5,2,0.12678416,-0.18260747,1.1441965,1638
3,3,-5.0251923,2.6586833,-1.1554415,1139,1,1,0.9304141,-2.299892,-0.9929701,109,5,4,0.9347298,-0.28636897,0.98872435,1639
